type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/name,properties/population,properties/code
Feature,01,Point,-86.766233,33.001471,Alabama,4447100,
Feature,02,Point,-148.716968,61.288254,Alaska,626932,
Feature,04,Point,-111.828711,33.373506,Arizona,5130632,
Feature,05,Point,-92.576816,35.080251,Arkansas,2673400,
Feature,06,Point,-119.355165,35.458606,California,33871648,
Feature,08,Point,-105.203628,39.500656,Colorado,4301261,
Feature,09,Point,-72.874365,41.494852,Connecticut,3405565,
Feature,10,Point,-75.561908,39.397164,Delaware,783600,
Feature,11,Point,-77.014001,38.910092,District of Columbia,572059,
Feature,12,Point,-81.634622,27.79585,Florida,15982378,
Feature,13,Point,-83.868887,33.332208,Georgia,8186453,
Feature,15,Point,-157.524452,21.146768,Hawaii,1211537,
Feature,16,Point,-115.133222,44.242605,Idaho,1293953,
Feature,17,Point,-88.380238,41.278216,Illinois,12419293,
Feature,18,Point,-86.261515,40.163935,Indiana,6080485,
Feature,19,Point,-93.049161,41.960392,Iowa,2926324,
Feature,20,Point,-96.536052,38.454303,Kansas,2688418,
Feature,21,Point,-85.241819,37.808159,Kentucky,4041769,
Feature,22,Point,-91.457133,30.69927,Louisiana,4468976,
Feature,23,Point,-69.719931,44.313614,Maine,1274923,
Feature,24,Point,-76.797396,39.145653,Maryland,5296486,
Feature,25,Point,-71.363628,42.271831,Massachusetts,6349097,
Feature,26,Point,-84.170753,42.866412,Michigan,9938444,
Feature,27,Point,-93.583003,45.210782,Minnesota,4919479,
Feature,28,Point,-89.593164,32.56642,Mississippi,2844658,
Feature,29,Point,-92.15377,38.437715,Missouri,5595211,
Feature,30,Point,-111.209708,46.813302,Montana,902195,
Feature,31,Point,-97.403875,41.183753,Nebraska,1711263,
Feature,32,Point,-116.304648,37.165965,Nevada,1998257,
Feature,33,Point,-71.463342,43.153046,New Hampshire,1235786,
Feature,34,Point,-74.428055,40.438458,New Jersey,8414350,
Feature,35,Point,-106.342108,34.623012,New Mexico,1819046,
Feature,36,Point,-74.645228,41.507548,New York,18976457,
Feature,37,Point,-79.667654,35.553334,North Carolina,8049313,
Feature,38,Point,-99.334736,47.375168,North Dakota,642200,
Feature,39,Point,-82.749366,40.480854,Ohio,11353140,
Feature,40,Point,-96.834653,35.59794,Oklahoma,3450654,
Feature,41,Point,-122.579524,44.732273,Oregon,3421399,
Feature,42,Point,-77.075925,40.463528,Pennsylvania,12281054,
Feature,44,Point,-71.448902,41.753318,Rhode Island,1048319,
Feature,45,Point,-81.032387,34.034551,South Carolina,4012012,
Feature,46,Point,-99.043799,44.047502,South Dakota,754844,
Feature,47,Point,-86.397772,35.795862,Tennessee,5689283,
Feature,48,Point,-97.388631,30.943149,Texas,20851820,
Feature,49,Point,-111.90016,40.438987,Utah,2233169,
Feature,50,Point,-72.814309,44.081127,Vermont,608827,
Feature,51,Point,-77.835857,37.750345,Virginia,7078515,
Feature,53,Point,-121.624501,47.341728,Washington,5894121,
Feature,54,Point,-80.820221,38.767195,West Virginia,1808344,
Feature,55,Point,-89.001006,43.728544,Wisconsin,5363675,
Feature,56,Point,-107.008835,42.675762,Wyoming,493782,
Feature,72,Point,-66.58765,18.19958,Puerto Rico,3808610,PR
